Component,Origin,License,Copyright
https://github.com/DataDog/dd-trace-java/blob/dev/dd-trace/src/main/java/com/datadoghq/trace/propagation/Codec.java,Uber,MIT,
import,io.opentracing,Apache-2.0,Copyright 2016-2017 The OpenTracing Authors
import,org.slf4j,MIT,Copyright (c) 2004-2017 QOS.ch
import,com.fasterxml.jackson,Apache-2.0,
import,com.google.auto.service.AutoService,Apache-2.0,"Copyright 2013 Google, Inc."
logback.xml,ch.qos.logback,EPL-1.0 OR LGPL-2.1,"Copyright (C) 1999-2015, QOS.ch. All rights reserved."
logback.xml,net.logstash.logback,Apache-2.0,
import (test),org.junit,EPL-1.0,Copyright Â© 2002-2017 JUnit. All Rights Reserved.
import (test),org.assertj,Apache-2.0,Copyright 2012-2017 the original author or authors.
import (test),org.mockito,MIT,Copyright (c) 2007 Mockito contributors
